"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2y","q2","q1","ls3","a4","soct2","idio2","np1","np2","muni10","sgl1","honmun37","honmun38","honmun39","honmun40","honmun41","honmun42","cp5","cp6","cp7","cp8","cp13","cp20","honcp22","honcp21a","it1","l1","prot3","jc10","jc13","jc15a","vic1ext","vic1exta","vic1hogar","arm2","vic41","vic43","ico2","aoj11","pese1","pese2","aoj17","aoj12","b1","b2","b3","b4","b6","b10a","b11","b43","b12","b13","b18","b20","b20a","b21","b21a","b32","b37","b47a","b14","b15","b19","b46","honb51","mil1","b3milx","pr3e","honqt1","honqt2","honqt3","honqt4","honqt5","honqt6","honqt7","honqt8","honqt9","honqt10","honqt11","honqt12","m1","m2","honm3","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","mil7","pn4","w14a","e5","e15","e16","d1","d2","d3","d4","d5","d6","honjc17","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","vicbar1","vicbar1f","vicbar3","vicbar4","vicbar7","vic44","fear6f","vb1","vb2","vb10","pol1","vb20","for5","mil10a","mil10e","wf1","cct1b","ed","ed2","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","inf3a","colorr","sexi","colori","nationality","formatq","sex","year","fecha","lib1","lib4"
"1:505",4,117,40101,401,400101,12,1,1,1,1,401,NA,NA,36,2,1,5,1,3,2,2,NA,4,2,NA,NA,NA,NA,NA,4,1,2,4,4,4,NA,NA,3,NA,2,2,2,2,2,NA,2,NA,1,0,NA,3,NA,NA,4,4,5,5,5,5,6,4,4,7,1,3,1,4,7,6,4,5,6,NA,5,5,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,4,4,1,1,1,NA,2,NA,4,1,1,5,4,5,5,1,1,2,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,1,1,2,3,3,NA,NA,NA,NA,NA,12,NA,2,1,5,1,4,2,2,3,3,NA,NA,NA,4,2,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,4,1,5,4,NA,2,2010,NA,NA,NA
"1:506",4,1123,41202,412,401202,117,2,5,1,1,406,NA,NA,28,1,2,1,3,2,2,2,NA,3,2,NA,NA,NA,NA,NA,4,2,3,4,4,NA,NA,NA,3,8,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,4,2,4,7,3,4,4,5,3,7,3,2,NA,4,4,1,3,4,5,NA,3,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,6,5,3,2,NA,3,NA,5,2,1,10,10,5,4,1,1,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,11,NA,5,2,4,2,2,2,2,1,2,NA,NA,NA,2,2,4,2,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,NA,5,2,4,4,NA,1,2010,NA,NA,NA
"1:507",4,1348,41903,419,401903,138,2,5,1,1,407,NA,NA,67,2,3,4,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,4,2,2,2,4,4,NA,NA,1,4,2,2,2,2,2,NA,2,NA,NA,0,NA,1,NA,NA,3,2,2,3,3,6,4,NA,NA,7,6,NA,2,NA,4,3,5,NA,6,NA,6,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,7,4,6,4,NA,2,NA,1,3,10,3,3,3,10,1,1,1,0,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,0,NA,1,1,1,2,2,NA,NA,NA,NA,NA,3,NA,3,1,5,5,NA,2,2,2,2,NA,NA,NA,10,2,5,5,0,0,1,0,0,0,0,1,1,0,0,1,0,NA,NA,6,1,4,4,NA,2,2010,NA,NA,NA
"1:508",4,1099,41104,411,401104,115,2,5,1,1,406,NA,NA,30,1,2,4,3,2,2,2,NA,2,2,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,3,6,2,2,2,2,2,NA,2,NA,0,0,NA,1,NA,NA,4,2,5,5,5,7,7,7,5,6,6,6,6,5,5,6,7,6,6,NA,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,6,6,7,3,4,NA,1,NA,6,5,3,7,7,6,7,5,1,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,3,1,NA,NA,NA,NA,NA,3,NA,5,NA,4,1,4,2,2,3,2,NA,NA,NA,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,7,1,4,4,NA,1,2010,NA,NA,NA
"1:509",4,119,40101,401,400101,12,1,1,1,1,401,NA,NA,52,1,1,13,2,3,2,2,NA,3,2,NA,NA,NA,NA,NA,2,4,4,4,4,NA,NA,NA,1,8,2,1,2,2,2,NA,2,NA,0,0,NA,1,NA,NA,4,1,5,4,4,7,5,4,5,5,5,5,4,6,6,6,5,6,5,NA,4,4,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,3,5,3,4,5,NA,3,NA,3,7,4,4,7,6,7,2,2,1,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,1,NA,NA,NA,NA,NA,12,NA,1,1,2,3,NA,2,2,3,2,NA,NA,NA,2,1,1,5,0,0,1,0,0,0,0,1,1,0,0,1,0,NA,NA,3,1,5,4,NA,1,2010,NA,NA,NA
"1:510",4,471,40404,404,400404,50,2,5,1,1,403,NA,NA,74,1,2,3,2,2,2,2,NA,3,2,NA,NA,NA,NA,NA,2,2,4,4,2,NA,NA,NA,2,10,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,4,2,5,5,4,6,4,4,3,7,3,4,5,7,3,5,3,7,4,NA,5,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,7,7,7,7,5,NA,3,NA,10,1,4,1,1,1,1,1,1,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,1,1,3,3,NA,NA,NA,NA,NA,3,NA,3,1,1,1,2,2,2,3,3,NA,NA,NA,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,4,1,4,4,NA,1,2010,NA,NA,NA
"1:511",4,1037,41002,410,401002,110,2,5,1,1,406,NA,NA,42,1,1,18,2,2,2,1,0,3,2,NA,NA,NA,NA,NA,2,4,3,2,4,NA,NA,NA,1,4,2,2,2,2,2,NA,2,NA,0,0,NA,1,NA,NA,4,2,5,4,5,6,5,6,6,7,5,6,6,7,7,5,6,6,6,NA,5,5,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,5,4,5,4,6,NA,1,NA,6,4,5,5,6,5,5,6,5,2,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,1,1,1,3,2,NA,NA,NA,NA,NA,6,NA,4,2,4,1,4,2,2,3,2,NA,NA,NA,5,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,6,1,3,4,NA,1,2010,NA,NA,NA
"1:512",4,702,40501,405,400501,77,2,5,1,1,404,NA,NA,58,1,1,3,2,3,2,2,NA,3,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,2,9,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,3,3,5,5,5,4,5,4,4,7,4,4,3,3,7,1,6,3,3,NA,6,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,7,4,5,3,3,NA,3,NA,4,1,1,4,6,5,5,6,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,1,2,2,NA,NA,NA,NA,NA,2,NA,1,1,5,5,NA,2,2,3,2,NA,NA,NA,5,2,5,1,1,1,1,1,0,0,0,1,0,0,0,1,0,NA,NA,5,1,5,4,NA,1,2010,NA,NA,NA
"1:513",4,524,40401,404,400401,55,1,2,1,1,403,NA,NA,52,2,3,5,3,3,NA,2,NA,3,2,NA,NA,NA,NA,NA,2,4,2,4,4,4,NA,NA,2,2,2,2,1,NA,2,NA,2,NA,1,0,NA,1,NA,NA,3,3,7,1,5,4,6,4,3,4,4,6,5,7,5,3,3,3,5,NA,5,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,4,6,3,1,3,NA,1,NA,6,5,6,6,5,NA,5,4,3,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,2,4,1,NA,NA,NA,NA,NA,4,NA,1,1,1,1,4,2,2,2,2,NA,NA,NA,3,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,NA,NA,4,2,4,4,NA,2,2010,NA,NA,NA
"1:514",4,971,40805,408,400805,104,1,4,1,1,405,NA,NA,56,1,1,5,1,1,2,2,NA,1,2,NA,NA,NA,NA,NA,4,1,2,4,4,NA,NA,NA,1,5,2,1,1,1,2,NA,2,NA,0,NA,NA,1,NA,NA,4,1,7,7,6,5,6,7,5,7,7,7,7,7,5,5,7,7,5,NA,7,7,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,7,7,7,5,7,NA,1,NA,5,1,5,10,3,1,1,1,1,1,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,2,2,2,2,NA,NA,NA,NA,NA,18,NA,2,1,1,1,1,2,2,2,1,NA,NA,NA,7,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,NA,10,2,5,4,NA,1,2010,NA,NA,NA
"1:515",4,780,40701,407,400701,84,2,5,1,1,404,NA,NA,18,2,2,21,2,2,2,2,NA,2,1,1,1,1,1,2,4,2,4,4,4,4,NA,NA,2,5,2,1,1,2,2,NA,2,NA,0,0,NA,2,NA,NA,2,2,5,5,4,5,5,4,4,7,4,4,4,4,4,4,4,5,4,NA,4,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,7,7,5,5,5,NA,2,NA,6,6,6,5,5,5,5,7,5,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,2,2,1,NA,NA,NA,NA,NA,10,NA,5,2,4,5,NA,2,2,3,2,NA,NA,NA,1,2,5,2,1,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,4,2,3,4,NA,2,2010,NA,NA,NA
"1:516",4,589,40401,404,400401,64,1,2,1,1,403,NA,NA,22,1,2,3,3,3,2,2,NA,3,2,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,3,8,2,1,1,2,2,NA,2,NA,0,1,NA,3,NA,NA,3,1,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,6,6,4,3,3,NA,3,NA,3,3,3,3,3,3,3,1,1,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,4,4,NA,NA,NA,NA,NA,8,NA,4,1,1,1,4,2,2,3,3,NA,NA,NA,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,2,1,5,4,NA,1,2010,NA,NA,NA
"1:517",4,295,40202,402,400202,34,2,5,1,1,402,NA,NA,18,2,2,5,3,2,2,2,NA,4,2,NA,NA,NA,NA,NA,1,1,4,4,4,4,NA,NA,2,10,2,2,2,2,2,NA,2,NA,0,0,NA,1,NA,NA,4,3,5,6,6,6,NA,NA,NA,5,6,6,6,6,7,5,5,6,6,NA,6,6,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,6,6,6,6,6,NA,2,NA,6,5,5,6,6,6,6,6,6,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,6,NA,2,1,5,5,NA,1,2,2,2,NA,NA,NA,0,1,5,2,1,0,0,1,0,0,0,1,1,0,0,1,0,NA,NA,3,1,4,4,NA,2,2010,NA,NA,NA
"1:518",4,345,40302,403,400302,38,2,5,1,1,402,NA,NA,33,1,3,2,3,3,1,2,NA,3,1,1,1,2,1,1,3,2,2,3,4,NA,NA,NA,1,5,2,1,1,2,2,NA,1,NA,0,0,NA,1,NA,NA,4,3,6,6,6,6,7,6,6,7,7,6,4,6,7,6,6,5,5,NA,5,6,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,6,7,6,4,4,NA,2,NA,6,1,7,7,5,4,4,1,1,1,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,1,1,2,3,3,NA,NA,NA,NA,NA,12,NA,3,1,2,1,4,1,2,3,2,NA,NA,NA,4,2,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,4,2,3,4,NA,1,2010,NA,NA,NA
"1:519",4,590,40401,404,400401,64,1,2,1,1,403,NA,NA,20,2,1,1,1,2,2,2,NA,3,1,1,1,1,1,2,4,4,4,4,4,4,NA,NA,3,8,2,2,2,2,2,NA,2,NA,1,1,NA,4,NA,NA,1,2,7,7,7,7,6,6,6,6,6,6,5,7,7,4,4,5,6,NA,7,6,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,6,7,6,6,NA,1,NA,5,2,2,5,6,7,5,1,1,2,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,2,2,1,3,1,NA,NA,NA,NA,NA,11,NA,1,1,1,5,NA,1,2,1,2,NA,NA,NA,1,5,2,1,1,1,1,0,0,0,0,1,0,1,0,1,0,NA,NA,8,1,5,4,NA,2,2010,NA,NA,NA
"1:520",4,773,40604,406,400604,83,2,5,1,1,404,NA,NA,39,2,1,2,3,2,2,2,NA,3,2,NA,NA,NA,NA,NA,4,1,2,4,4,4,NA,NA,1,NA,2,1,1,2,2,NA,2,NA,0,0,NA,1,NA,NA,4,NA,NA,2,3,2,3,2,5,5,5,6,7,6,6,6,3,5,4,NA,5,6,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,7,7,NA,NA,2,NA,NA,NA,10,1,1,1,6,8,8,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,1,2,3,2,NA,NA,NA,NA,NA,6,NA,1,1,2,5,NA,2,2,3,3,NA,NA,NA,3,4,5,2,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,9,1,4,4,NA,2,2010,NA,NA,NA
"1:521",4,58,40104,401,400104,5,2,5,1,1,401,NA,NA,58,1,1,13,1,2,2,2,NA,3,2,NA,NA,NA,NA,NA,4,1,4,4,4,NA,NA,NA,3,8,2,1,2,2,2,NA,1,NA,0,0,NA,1,NA,NA,4,3,6,6,7,7,6,6,7,7,7,7,5,6,4,4,5,5,6,NA,6,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,6,6,7,6,6,NA,1,NA,5,3,1,6,8,2,3,1,1,1,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,1,1,4,NA,NA,NA,NA,NA,9,NA,4,1,1,1,4,2,2,2,2,NA,NA,NA,0,1,5,1,1,0,1,1,0,1,0,1,1,0,0,1,0,NA,NA,2,1,4,4,NA,1,2010,NA,NA,NA
"1:522",4,950,40707,407,400707,102,1,4,1,1,404,NA,NA,40,2,2,18,3,3,2,2,NA,3,2,NA,NA,NA,NA,NA,3,2,2,1,2,2,NA,NA,2,3,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,2,2,3,3,3,2,3,3,1,3,1,4,4,4,5,3,3,3,3,NA,4,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,3,3,4,3,4,NA,1,NA,4,5,3,4,5,5,5,5,4,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,2,3,NA,NA,NA,NA,NA,10,NA,2,1,5,5,NA,2,2,1,1,NA,NA,NA,3,1,2,5,1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,3,1,3,4,NA,2,2010,NA,NA,NA
"1:523",4,19,40101,401,400101,2,2,5,1,1,401,NA,NA,30,1,2,3,3,2,2,2,NA,3,2,NA,NA,NA,NA,NA,4,2,2,3,3,NA,NA,NA,2,1,1,1,1,2,2,NA,1,NA,0,0,NA,3,NA,NA,3,3,5,5,5,5,6,5,4,5,4,5,4,5,5,5,5,5,5,NA,5,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,5,5,5,5,4,NA,2,NA,6,6,6,6,6,6,5,4,2,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,2,2,3,3,NA,NA,NA,NA,NA,6,NA,3,2,1,1,4,2,2,3,2,NA,NA,NA,1,1,4,1,1,1,1,1,0,0,0,1,1,0,0,1,0,NA,NA,4,1,4,4,NA,1,2010,NA,NA,NA
"1:524",4,1030,41001,410,401001,109,2,5,1,1,406,NA,NA,70,1,1,5,3,2,2,2,NA,4,2,NA,NA,NA,NA,NA,3,2,4,4,3,NA,NA,NA,3,4,2,2,2,2,2,NA,2,NA,0,0,NA,1,NA,NA,2,3,4,4,2,4,3,5,3,4,4,3,4,3,5,4,3,4,5,NA,3,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,4,4,3,3,4,NA,3,NA,4,3,3,4,5,4,4,4,4,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,3,3,NA,NA,NA,NA,NA,3,NA,2,1,7,5,NA,1,2,4,1,NA,NA,NA,3,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,8,1,3,4,NA,1,2010,NA,NA,NA
"1:525",4,1326,41902,419,401902,137,2,5,1,1,407,NA,NA,22,1,1,4,3,2,2,2,NA,4,2,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,2,5,2,2,2,2,2,NA,1,NA,0,0,NA,1,NA,NA,3,4,1,5,4,5,3,3,4,7,4,5,1,4,7,1,3,6,4,NA,6,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,7,7,NA,1,4,NA,NA,NA,10,1,10,NA,10,1,10,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,1,2,3,1,NA,NA,NA,NA,NA,12,NA,1,1,2,3,NA,2,2,2,2,NA,NA,NA,0,2,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,6,1,4,4,NA,1,2010,NA,NA,NA
"1:526",4,1544,42201,422,402201,157,2,5,1,1,409,NA,NA,46,2,2,4,2,1,2,2,NA,2,1,1,1,2,1,1,3,1,3,3,2,3,NA,NA,1,NA,2,1,1,1,2,NA,2,NA,1,1,NA,2,NA,NA,1,1,7,7,7,5,4,4,5,7,7,7,4,7,1,7,NA,7,6,NA,7,6,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,4,4,4,7,NA,2,NA,10,5,10,NA,NA,NA,NA,1,1,2,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,2,1,1,3,NA,NA,NA,NA,NA,1,NA,1,1,1,5,NA,2,2,3,1,NA,NA,NA,2,4,5,4,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,6,2,3,4,NA,2,2010,NA,NA,NA
"1:527",4,1303,41804,418,401804,135,2,5,1,1,407,NA,NA,23,2,2,1,3,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,3,2,2,2,4,4,NA,NA,3,5,2,1,1,2,2,NA,1,NA,0,0,NA,3,NA,NA,3,3,4,4,3,4,4,4,5,7,5,4,6,4,4,4,4,4,4,NA,3,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,7,4,4,3,3,NA,2,NA,5,3,7,10,5,5,5,5,1,2,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,0,NA,1,2,1,3,3,NA,NA,NA,NA,NA,6,NA,3,1,5,5,NA,2,2,4,2,NA,NA,NA,5,1,5,1,1,0,1,1,0,0,0,1,0,0,0,1,0,NA,NA,2,2,3,4,NA,2,2010,NA,NA,NA
"1:528",4,552,40401,404,400401,59,1,2,1,1,403,NA,NA,34,1,3,4704,3,3,2,2,NA,2,1,2,2,1,2,2,4,2,1,4,4,NA,NA,NA,1,5,2,2,2,2,2,NA,2,NA,1,0,NA,2,NA,NA,3,3,4,5,4,5,4,4,5,4,5,4,3,4,5,5,5,4,4,NA,5,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,3,4,3,3,3,NA,1,NA,4,4,5,4,4,3,3,3,3,1,1,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,1,2,2,4,1,NA,NA,NA,NA,NA,17,NA,1,1,5,1,2,2,2,1,2,NA,NA,NA,3,2,4,1,1,1,1,0,1,1,0,1,1,0,0,1,0,NA,NA,4,2,4,4,NA,1,2010,NA,NA,NA
"1:529",4,1049,41003,410,401003,111,2,5,1,1,406,NA,NA,42,1,3,4,3,2,1,1,1,3,1,1,1,2,1,1,3,2,3,3,3,NA,NA,NA,1,5,2,2,1,2,2,NA,2,NA,0,0,NA,2,NA,NA,4,2,4,3,4,3,5,5,4,3,3,4,5,2,5,5,4,5,4,NA,5,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,3,3,4,3,2,NA,3,NA,3,5,4,4,3,4,3,3,4,2,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,1,1,1,2,2,NA,NA,NA,NA,NA,6,NA,3,1,5,1,4,2,2,3,2,NA,NA,NA,4,3,5,1,1,0,1,1,0,0,0,1,1,0,0,1,0,NA,NA,6,1,3,4,NA,1,2010,NA,NA,NA
"1:530",4,988,40902,409,400902,106,2,5,1,1,406,NA,NA,19,2,1,3,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,4,1,4,4,4,4,NA,NA,1,9,2,2,2,2,2,NA,2,NA,0,0,NA,1,NA,NA,4,3,6,6,6,6,6,5,NA,7,7,6,7,6,7,6,6,7,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,4,3,4,NA,2,NA,7,2,2,7,7,7,7,6,1,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,4,NA,NA,NA,NA,NA,NA,6,NA,2,2,5,5,NA,2,2,3,2,NA,NA,NA,0,1,5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,3,1,4,4,NA,2,2010,NA,NA,NA
"1:531",4,310,40203,402,400203,35,2,5,1,1,402,NA,NA,43,1,2,18,3,2,2,2,NA,4,2,NA,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,3,4,NA,2,2,2,NA,NA,2,NA,0,0,NA,2,NA,NA,1,1,4,5,6,5,7,4,5,5,5,5,3,4,5,4,5,4,5,NA,4,5,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,6,6,3,2,3,NA,2,NA,3,4,3,5,4,4,4,5,5,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,9,NA,2,2,1,1,4,2,2,2,1,NA,NA,NA,2,1,2,2,1,1,1,0,1,1,1,1,1,0,0,1,0,NA,NA,3,1,3,4,NA,1,2010,NA,NA,NA
"1:532",4,707,40502,405,400502,78,2,5,1,1,404,NA,NA,22,2,2,3,3,2,2,2,NA,2,2,NA,NA,NA,NA,NA,3,2,4,4,4,4,NA,NA,3,5,2,2,2,2,2,NA,2,NA,0,0,NA,2,NA,NA,3,3,4,3,4,4,5,4,4,7,4,3,4,2,7,6,3,6,3,NA,5,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,7,4,5,3,NA,3,NA,10,1,1,6,5,5,5,1,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,11,NA,1,1,5,5,NA,2,1,3,2,NA,NA,NA,0,2,3,2,1,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,4,1,5,4,NA,2,2010,NA,NA,NA
"1:533",4,475,40405,404,400405,51,2,5,1,1,403,NA,NA,24,2,2,5,3,3,2,2,NA,3,2,NA,NA,NA,NA,NA,4,4,4,4,3,4,NA,NA,2,6,2,2,2,1,2,NA,2,NA,0,0,NA,1,NA,NA,4,3,4,4,3,3,4,4,2,7,1,1,2,7,5,4,4,3,3,NA,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,4,6,4,5,4,NA,3,NA,4,10,10,5,5,10,10,10,10,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,18,NA,1,2,1,1,2,1,2,2,1,NA,NA,NA,0,2,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,NA,NA,2,1,4,4,NA,2,2010,NA,NA,NA
