"","pais","idnum","upm","prov","muni","cluster","ur","tamano","idiomaq","wt","estratopri","estratosec","q2","q1","nationality","ls3","a4","soct2","idio2","np1","sgl1","cp6","cp7","cp8","cp13","cp20","it1","l1","prot3","prot4","jc10","jc13","jc15a","vic1ext","vic1exta","arm2","vic41","vic43","aoj11","pese1","pese2","aoj17","aoj12","b1","b2","b3","b4","b6","b43","b11","b12","b13","b18","b21","b21a","b32","b17","b37","b47a","b15","b50","b60","epp3","m1","m2","sd2new2","sd3new2","sd6new2","infrax","ros1","ros4","ing4","eff1","eff2","pn4","w14a","e5","e16","d1","d2","d3","d4","d5","d6","dem11","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","vicbar1","vicbar1f","vicbar3","vicbar7","vb1","inf1","vb2","vb10","pol1","vb20","soc1","soc4","soc5","soc8","soc9","for5","for6b","for7b","mil10a","mil10e","wf1","cct1b","ed","ed2","q5a","q5b","q3c","ocup4a","ocup1a","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","www1","gi0","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","colorr","sexi","colori","formatq","sex","year","fecha","lib1","lib4"
"1:1405",2,1458,21804,218,201804,185,2,5,2,1,205,NA,42,2,2,1,5,2,2,1,2,4,3,2,4,2,1,9,2,NA,1,1,1,2,NA,NA,NA,NA,2,NA,NA,2,2,5,4,5,5,5,7,5,5,5,5,5,4,6,6,6,NA,5,4,4,NA,3,3,NA,NA,NA,NA,5,6,4,5,4,1,NA,4,5,6,5,8,4,7,7,2,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,4,4,1,4,2,1,2,2,NA,NA,NA,7,2,5,1,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,5,1,3,NA,2,2010,NA,NA,NA
"1:1406",2,1066,20803,208,200803,142,1,3,2,1,203,NA,23,1,2,1,21,1,1,1,3,1,2,2,4,NA,2,4,2,NA,2,2,2,2,NA,NA,NA,NA,1,NA,NA,4,3,4,7,4,6,5,7,4,3,3,4,2,3,4,5,5,NA,5,4,4,NA,3,3,NA,NA,NA,NA,6,1,6,2,6,2,NA,1,10,1,10,1,1,5,1,2,1,1,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,5,1,2,2,2,1,1,NA,NA,NA,1,3,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:1407",2,1182,22212,222,202212,154,1,3,2,1,204,NA,34,2,2,1,1,3,3,2,2,1,2,4,4,4,3,6,2,NA,1,1,1,2,NA,NA,NA,NA,1,NA,NA,4,3,4,7,1,1,1,7,1,7,1,1,1,1,1,1,1,NA,5,1,5,NA,4,4,NA,NA,NA,NA,1,7,7,1,1,3,NA,9,10,10,10,10,10,10,7,1,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,1,1,4,2,2,3,2,NA,NA,NA,3,2,5,2,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,3,2,3,NA,2,2010,NA,NA,NA
"1:1408",2,800,21410,214,201410,107,2,5,2,1,203,NA,60,2,2,1,5,3,3,NA,1,1,3,4,4,4,1,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,3,3,2,4,2,1,5,7,1,5,NA,1,1,1,7,4,4,NA,1,1,3,NA,5,4,NA,NA,NA,NA,NA,7,5,3,NA,3,NA,8,9,NA,7,4,3,1,1,1,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,1,1,4,2,2,2,2,NA,NA,NA,5,3,5,1,1,0,1,0,0,1,0,1,1,0,0,1,0,NA,4,1,3,NA,2,2010,NA,NA,NA
"1:1409",2,145,22,201,200101,22,1,1,2,1,201,NA,31,1,2,1,1,3,2,2,3,4,4,4,4,NA,4,10,2,NA,1,1,2,2,NA,NA,NA,NA,3,NA,NA,1,4,7,7,1,1,1,7,1,7,1,1,1,1,5,4,5,NA,4,5,5,NA,5,5,NA,NA,NA,NA,6,7,2,6,2,3,NA,10,8,4,8,8,8,1,1,1,1,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,4,2,5,1,4,2,2,2,2,NA,NA,NA,2,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,NA,5,1,3,NA,1,2010,NA,NA,NA
"1:1410",2,376,20501,205,200501,55,1,2,2,1,202,NA,56,1,2,2,27,3,3,2,4,4,4,4,4,NA,3,8,2,NA,2,2,2,2,NA,NA,NA,NA,2,NA,NA,2,2,5,5,5,5,6,6,6,4,7,5,6,4,5,4,7,NA,5,4,6,NA,2,3,NA,NA,NA,NA,6,7,6,6,6,2,NA,8,3,6,6,4,7,5,5,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,3,3,1,1,4,2,2,3,2,NA,NA,NA,4,2,5,3,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,7,1,7,NA,1,2010,NA,NA,NA
"1:1411",2,723,21315,213,201315,97,1,3,2,1,203,NA,54,1,2,1,4,3,3,1,3,2,3,2,3,NA,1,5,2,NA,1,1,2,1,3,NA,NA,NA,3,NA,NA,1,1,6,2,1,4,3,7,6,7,1,3,3,1,1,6,7,NA,6,2,6,NA,2,3,NA,NA,NA,NA,1,7,4,3,5,4,NA,10,9,7,8,6,10,3,1,1,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,1,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,1,5,1,NA,1,2,2,2,NA,NA,NA,5,3,5,2,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,6,1,6,NA,1,2010,NA,NA,NA
"1:1412",2,1457,21804,218,201804,185,2,5,2,1,205,NA,34,2,2,2,4,3,2,2,5,4,2,2,4,3,1,NA,2,NA,1,1,2,2,NA,NA,NA,NA,2,NA,NA,4,2,2,4,2,2,4,7,1,2,3,2,3,2,1,7,7,NA,4,3,4,NA,3,3,NA,NA,NA,NA,4,7,5,4,4,3,NA,5,10,5,7,8,6,10,10,1,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,2,11,5,NA,2,1,3,3,NA,NA,NA,3,2,5,2,1,0,1,0,0,0,1,1,1,0,0,1,0,NA,4,2,3,NA,2,2010,NA,NA,NA
"1:1413",2,1402,20207,202,200207,180,2,5,2,1,205,NA,31,1,2,2,23,2,3,2,3,1,3,2,4,NA,1,8,2,NA,2,2,2,2,NA,NA,NA,NA,1,NA,NA,4,2,1,4,3,4,4,6,4,2,1,3,4,3,4,NA,3,NA,NA,4,NA,NA,3,4,NA,NA,NA,NA,6,7,6,3,4,3,NA,10,10,10,10,10,10,1,1,1,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,2,2,1,1,4,2,1,3,3,NA,NA,NA,3,2,5,5,0,0,1,0,0,0,0,1,1,0,0,0,0,NA,5,1,4,NA,1,2010,NA,NA,NA
"1:1414",2,773,21405,214,201405,104,1,3,2,1,203,NA,24,2,2,1,57,2,2,2,2,1,4,4,4,4,4,7,2,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,1,1,4,7,NA,1,1,2,1,1,4,3,7,NA,1,NA,2,NA,5,3,NA,NA,NA,NA,2,5,NA,4,1,NA,NA,4,4,5,1,2,3,1,1,2,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,1,5,NA,2,2,3,2,NA,NA,NA,0,3,5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,6,1,6,NA,2,2010,NA,NA,NA
"1:1415",2,144,2,201,200101,21,1,1,2,1,201,NA,55,2,2,2,1,2,2,2,2,4,4,4,4,4,2,5,2,NA,2,2,2,2,NA,NA,NA,NA,2,NA,NA,2,3,4,3,2,5,5,7,5,7,4,3,3,3,6,4,6,NA,5,4,6,NA,2,3,NA,NA,NA,NA,6,5,5,2,2,2,NA,9,1,8,5,5,5,4,1,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,1,1,5,NA,2,2,2,2,NA,NA,NA,4,2,5,1,1,1,0,2,1,1,0,1,1,0,0,1,0,NA,4,1,3,NA,2,2010,NA,NA,NA
"1:1416",2,176,20108,201,200108,25,2,5,2,1,201,NA,42,1,2,2,5,3,3,2,2,2,4,4,4,NA,2,8,2,NA,2,1,2,1,1,NA,NA,NA,2,NA,NA,3,4,2,2,3,3,2,2,2,3,2,3,2,3,3,2,2,NA,2,2,5,NA,3,3,NA,NA,NA,NA,4,3,6,3,2,2,NA,3,3,4,4,3,5,4,6,NA,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,2,1,1,4,2,2,3,3,NA,NA,NA,3,2,2,1,1,0,1,1,1,0,0,1,1,0,0,1,0,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:1417",2,418,20505,205,200505,60,2,5,2,1,202,NA,66,1,2,2,57,2,1,2,4,1,4,4,4,NA,2,4,2,NA,1,1,2,2,NA,NA,NA,NA,1,NA,NA,4,4,4,7,3,3,3,7,3,7,3,1,3,1,3,6,6,NA,3,3,3,NA,4,2,NA,NA,NA,NA,5,6,3,2,3,4,NA,3,3,6,6,4,5,10,2,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,1,1,1,4,2,1,3,2,NA,NA,NA,4,2,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,6,1,5,NA,1,2010,NA,NA,NA
"1:1418",2,373,20501,205,200501,55,1,2,2,1,202,NA,20,1,2,1,4,2,2,2,3,4,4,4,4,NA,4,3,2,NA,1,1,2,2,NA,NA,NA,NA,3,NA,NA,1,2,6,7,6,6,6,7,3,1,2,1,3,3,3,3,7,NA,3,3,3,NA,3,3,NA,NA,NA,NA,4,4,3,2,7,2,NA,4,10,5,5,3,5,10,3,2,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,1,5,1,4,2,2,2,2,NA,NA,NA,0,2,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,NA,6,1,5,NA,1,2010,NA,NA,NA
"1:1419",2,707,21305,213,201305,95,1,3,2,1,203,NA,49,2,2,2,3,3,3,2,4,1,1,1,4,1,3,3,1,1,1,1,1,2,NA,NA,NA,NA,4,NA,NA,3,3,1,4,2,3,4,7,5,6,1,1,2,4,4,4,4,NA,2,4,3,NA,2,3,NA,NA,NA,NA,3,4,NA,3,3,3,NA,5,1,3,6,1,2,1,1,2,0,0,NA,NA,0,NA,0,0,1,NA,NA,NA,NA,1,NA,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,1,5,2,4,2,2,2,3,NA,NA,NA,4,2,4,3,0,0,1,0,0,0,0,1,1,0,0,1,0,NA,6,2,4,NA,2,2010,NA,NA,NA
"1:1420",2,1026,20719,207,200719,136,1,3,2,1,203,NA,34,1,2,1,5,1,2,2,3,1,2,2,4,NA,2,7,2,NA,2,2,2,1,1,NA,NA,NA,1,NA,NA,4,4,2,6,3,4,6,7,6,4,1,4,2,2,4,3,2,NA,3,4,5,NA,3,4,NA,NA,NA,NA,2,6,7,3,4,2,NA,1,3,8,2,2,2,8,1,2,0,0,NA,0,0,NA,NA,0,1,NA,NA,NA,NA,1,NA,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,2,5,1,4,2,2,2,2,NA,NA,NA,2,3,3,1,1,1,1,2,1,1,1,1,1,1,0,1,1,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:1421",2,220,20108,201,200108,31,1,2,2,1,201,NA,64,1,2,2,5,3,3,2,2,1,4,4,4,NA,3,NA,2,NA,2,2,2,1,2,NA,NA,NA,4,NA,NA,1,3,4,5,4,3,5,7,4,6,2,1,3,4,6,4,6,NA,3,4,7,NA,3,4,NA,NA,NA,NA,1,5,6,2,4,3,NA,8,8,7,8,8,7,8,6,1,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,1,1,1,4,2,2,2,2,NA,NA,NA,4,2,3,1,1,1,1,2,1,1,0,1,1,1,0,1,0,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:1422",2,1174,22212,222,202212,153,2,5,2,1,204,NA,39,2,2,2,5,3,2,2,4,1,2,4,4,4,2,9,2,NA,1,1,2,2,NA,NA,NA,NA,1,NA,NA,4,3,5,7,3,5,4,7,4,7,5,5,4,3,5,4,5,NA,5,4,NA,NA,3,3,NA,NA,NA,NA,4,7,5,5,3,2,NA,5,3,8,5,7,7,1,1,1,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,1,1,1,5,2,2,2,2,NA,NA,NA,4,2,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,3,2,3,NA,2,2010,NA,NA,NA
"1:1423",2,162,20106,201,200106,23,1,1,2,1,201,NA,48,2,2,2,5,2,3,2,2,1,3,4,4,4,1,5,2,NA,2,2,1,2,NA,NA,NA,NA,1,NA,NA,3,4,1,1,1,2,2,6,2,4,2,4,1,2,4,2,2,NA,1,2,1,NA,3,3,NA,NA,NA,NA,4,3,6,3,2,2,NA,8,5,3,3,4,4,4,5,2,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,2,NA,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,3,5,1,4,2,1,2,3,NA,NA,NA,3,2,5,2,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,5,1,3,NA,2,2010,NA,NA,NA
"1:1424",2,1532,21908,219,201908,193,2,5,2,1,205,NA,63,2,2,1,3,2,2,2,2,2,4,4,4,4,2,9,2,NA,2,2,2,2,NA,NA,NA,NA,2,NA,NA,4,3,5,7,4,4,3,7,5,6,4,4,1,5,6,6,NA,NA,NA,4,NA,NA,1,3,NA,NA,NA,NA,NA,1,5,1,3,NA,NA,2,6,5,2,3,6,1,1,2,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,1,1,5,NA,2,2,3,2,NA,NA,NA,11,2,5,5,1,0,0,0,0,0,0,1,0,0,0,1,0,NA,4,1,3,NA,2,2010,NA,NA,NA
"1:1425",2,886,20308,203,200308,118,1,3,2,1,203,NA,34,2,2,1,15,3,2,2,3,1,2,4,4,4,1,5,2,NA,2,2,2,1,2,NA,NA,NA,2,NA,NA,4,4,2,3,1,1,7,7,5,1,1,2,1,1,2,4,3,NA,1,6,6,NA,5,5,NA,NA,NA,NA,1,7,4,1,6,4,NA,10,1,10,10,10,10,10,1,2,0,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,3,4,2,2,3,2,2,1,2,NA,NA,NA,3,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,NA,3,1,3,NA,2,2010,NA,NA,NA
"1:1426",2,1412,20207,202,200207,180,2,5,2,1,205,NA,67,2,2,1,4,2,2,2,1,1,4,4,4,2,1,6,2,NA,1,2,2,2,NA,NA,NA,NA,1,NA,NA,4,2,5,5,5,5,5,7,7,NA,1,7,NA,7,7,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,1,7,NA,1,1,2,NA,7,1,6,6,6,6,6,6,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,1,7,NA,2,2,2,2,NA,NA,NA,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,3,1,3,NA,2,2010,NA,NA,NA
"1:1427",2,1169,22212,222,202212,153,2,5,2,1,204,NA,53,1,2,1,1,3,1,2,4,4,4,4,4,NA,1,NA,2,NA,1,1,2,2,NA,NA,NA,NA,2,NA,NA,4,1,6,6,NA,5,6,7,6,7,7,7,3,5,6,7,6,NA,4,6,7,NA,3,4,NA,NA,NA,NA,1,7,7,7,7,2,NA,10,10,9,10,10,10,4,5,1,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,2,1,1,4,2,2,3,3,NA,NA,NA,2,2,5,4,1,0,1,0,1,0,1,1,1,0,0,1,1,NA,4,2,3,NA,1,2010,NA,NA,NA
"1:1428",2,175,20108,201,200108,25,2,5,2,1,201,NA,33,1,2,2,5,3,3,2,3,3,3,4,4,NA,2,9,2,NA,1,1,1,2,NA,NA,NA,NA,2,NA,NA,4,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,3,NA,2,2,5,NA,4,4,NA,NA,NA,NA,5,5,5,6,4,2,NA,6,6,4,4,3,4,4,5,2,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,2,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,1,5,5,NA,2,2,2,2,NA,NA,NA,6,2,1,4,1,0,1,1,1,1,0,1,1,1,1,1,0,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:1429",2,1430,20206,202,200206,182,2,5,2,1,205,NA,61,1,2,4,5,1,2,1,3,2,2,3,4,NA,1,10,2,NA,2,2,2,2,NA,NA,NA,NA,1,NA,NA,4,3,1,1,1,1,1,4,1,3,1,1,1,1,1,1,7,NA,1,4,5,NA,5,5,NA,NA,NA,NA,4,4,2,1,3,3,NA,1,1,4,3,4,2,1,1,1,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,1,NA,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,2,1,1,4,1,2,2,3,NA,NA,NA,10,2,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:1430",2,1030,20719,207,200719,136,1,3,2,1,203,NA,30,2,2,2,5,2,2,2,2,1,2,4,4,3,2,NA,2,NA,2,2,2,2,NA,NA,NA,NA,2,NA,NA,4,3,5,5,4,4,7,7,5,3,4,5,5,6,5,5,5,NA,5,5,7,NA,2,3,NA,NA,NA,NA,1,7,7,3,4,2,NA,9,1,6,4,4,4,6,2,2,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,1,NA,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,1,1,1,2,2,2,2,2,NA,NA,NA,1,3,2,2,1,0,1,0,0,0,0,1,1,1,0,1,0,NA,5,1,3,NA,2,2010,NA,NA,NA
"1:1431",2,1024,20704,207,200704,135,2,5,2,1,203,NA,66,2,2,1,1,3,1,1,2,2,4,4,4,4,1,2,2,NA,2,2,2,1,3,NA,NA,NA,1,NA,NA,3,4,1,NA,3,3,NA,7,3,1,1,1,1,1,5,4,5,NA,3,4,7,NA,3,4,NA,NA,NA,NA,3,7,NA,2,3,1,NA,1,10,NA,NA,NA,NA,10,10,2,0,0,NA,NA,0,NA,1,NA,0,NA,NA,NA,NA,1,NA,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,3,1,5,1,4,2,2,2,1,NA,NA,NA,2,2,5,1,1,0,1,0,0,0,0,0,1,0,0,1,0,NA,4,2,4,NA,2,2010,NA,NA,NA
"1:1432",2,512,21218,212,201218,71,2,5,2,1,202,NA,18,2,2,1,23,3,2,1,2,4,1,1,4,2,2,6,2,NA,1,1,2,1,1,NA,NA,NA,3,NA,NA,3,1,4,6,7,5,7,7,6,7,5,5,5,7,6,5,6,NA,6,4,5,NA,3,3,NA,NA,NA,NA,4,5,5,6,6,2,NA,8,4,5,5,5,6,4,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,1,5,5,NA,1,2,3,3,NA,NA,NA,0,2,5,3,0,1,1,0,0,0,0,1,0,0,0,1,0,NA,6,1,6,NA,2,2010,NA,NA,NA
"1:1433",2,221,20108,201,200108,31,1,2,2,1,201,NA,23,2,2,2,5,3,2,2,2,1,4,4,4,4,3,5,1,2,1,2,2,1,1,NA,NA,NA,4,NA,NA,1,3,3,4,3,2,2,7,3,4,2,2,2,4,6,5,6,NA,3,3,6,NA,3,4,NA,NA,NA,NA,1,6,5,1,3,2,NA,8,8,8,8,8,5,5,1,1,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,2,1,1,1,1,1,2,3,2,NA,NA,NA,0,2,3,1,1,0,1,1,1,1,0,1,1,1,0,1,1,NA,4,1,3,NA,2,2010,NA,NA,NA
"1:1434",2,720,21316,213,201316,96,2,5,2,1,203,NA,55,2,2,2,1,1,3,2,3,1,2,4,4,2,3,8,2,NA,1,1,2,2,NA,NA,NA,NA,2,NA,NA,4,3,6,5,4,6,5,7,NA,6,6,6,5,6,5,6,6,NA,6,5,NA,NA,3,3,NA,NA,NA,NA,2,4,6,1,NA,2,NA,NA,2,1,1,1,1,NA,1,2,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,5,5,NA,2,2,3,3,NA,NA,NA,4,3,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,6,2,4,NA,2,2010,NA,NA,NA
"1:1435",2,322,20115,201,200115,47,1,2,2,1,201,NA,23,1,2,2,1,3,2,2,4,1,2,4,4,NA,4,NA,2,NA,1,2,2,1,3,NA,NA,NA,4,NA,NA,1,4,2,3,NA,1,3,7,3,4,1,2,2,4,1,5,6,NA,2,NA,6,NA,3,4,NA,NA,NA,NA,1,6,5,5,1,3,NA,8,7,8,8,8,8,1,1,1,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,2,1,1,1,2,2,2,4,2,NA,NA,NA,1,2,2,1,0,0,1,0,0,0,0,1,1,0,0,1,0,NA,4,1,3,NA,1,2010,NA,NA,NA
"1:1436",2,442,20509,205,200509,62,1,3,2,1,202,NA,22,2,2,1,4,3,2,2,3,3,2,2,4,4,3,3,2,NA,1,1,2,2,NA,NA,NA,NA,4,NA,NA,1,4,7,2,3,3,3,7,3,6,5,1,2,1,2,6,3,NA,2,3,2,NA,5,4,NA,NA,NA,NA,4,4,4,2,3,4,NA,8,4,4,4,4,4,4,3,2,1,0,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,1,NA,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,1,1,5,NA,2,2,3,3,NA,NA,NA,1,2,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,5,1,3,NA,2,2010,NA,NA,NA
"1:1437",2,742,20915,209,200915,100,2,5,2,1,203,NA,33,1,2,2,4,2,1,2,3,1,3,1,4,NA,2,7,2,NA,1,2,2,2,NA,NA,NA,NA,1,NA,NA,3,3,3,5,4,5,6,7,6,6,5,4,3,6,6,6,4,NA,4,5,6,NA,2,3,NA,NA,NA,NA,6,7,6,2,5,3,NA,5,2,3,7,2,4,5,1,2,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,1,NA,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,1,1,1,1,2,2,3,2,NA,NA,NA,3,3,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,NA,5,1,3,NA,1,2010,NA,NA,NA
"1:1438",2,717,21316,213,201316,96,2,5,2,1,203,NA,22,2,2,1,3,2,NA,2,3,2,4,4,4,NA,3,4,2,NA,2,2,2,2,NA,NA,NA,NA,3,NA,NA,3,3,4,5,4,4,6,7,3,4,4,5,3,4,4,3,6,NA,4,3,NA,NA,3,3,NA,NA,NA,NA,1,6,3,2,1,2,NA,7,5,6,5,5,4,1,1,2,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,1,1,2,1,2,1,2,2,NA,NA,NA,0,3,1,4,1,0,1,3,0,1,0,1,1,1,0,1,0,NA,5,2,4,NA,2,2010,NA,NA,NA
"1:1439",2,786,21406,214,201406,105,2,5,2,1,203,NA,35,2,2,2,NA,2,3,2,2,2,2,2,4,4,3,5,2,NA,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,3,3,4,4,2,3,4,6,4,4,4,3,4,4,5,NA,6,NA,4,4,NA,NA,2,1,NA,NA,NA,NA,2,5,NA,1,3,2,NA,3,6,NA,NA,NA,NA,5,NA,2,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,2,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,1,NA,5,NA,2,1,3,2,NA,NA,NA,2,3,5,2,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,4,2,4,NA,2,2010,NA,NA,NA
"1:1440",2,532,21014,210,201014,74,1,3,2,1,202,NA,75,1,2,3,5,NA,2,2,2,4,4,4,4,NA,2,NA,2,NA,2,2,NA,2,NA,NA,NA,NA,2,NA,NA,4,3,4,7,5,5,7,7,5,3,1,1,1,1,6,6,5,NA,3,5,NA,NA,3,NA,NA,NA,NA,NA,7,7,NA,7,4,3,NA,10,6,5,9,6,10,10,1,2,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2,NA,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,1,1,1,4,2,1,4,2,NA,NA,NA,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,1,6,NA,1,2010,NA,NA,NA
