,sex,age,read_write,head_house,home_dept,home_city,mex_port,trans_crossm,coyote_usd,first_state,first_city,second_state,second_city,long_state,long_city,us_entry,trans_crossu,reason,fellow_trav
4187,Hombre,20,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,Santa Ana,La Técnica,Autobús o camioneta,6800,Veracruz de Ignacio de la Llave,Tierra Blanca (Veracruz de Ignacio de la Llave),Tamaulipas,Ciudad Miguel Alemán (Tamaulipas),Distrito Federal,No responde,Miguel Alemán (Brecha 124 entre Kilómetro 15 y 16 Norte) (Tamaulipas),Ninguno (caminando o nadando),Buscar trabajo,Ninguna
4188,Hombre,22,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,Orocuina,Tecún Umán,Autobús o camioneta,6500,Veracruz de Ignacio de la Llave,Coatzacoalcos (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Chiapas,Palenque (Chiapas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4189,Hombre,25,Sí,No,Choluteca,El Triunfo,La Técnica,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Tamaulipas,Reynosa (Tamaulipas),Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4190,Hombre,33,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,San Nicolás,Naranjo,Autobús o camioneta,7000,Tabasco,Tenosique de Pino Suárez (Tabasco),Nuevo León,Monterrey (Nuevo León),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,1
4191,Hombre,41,Sí,Sí,Francisco Morazán,Distrito Central,No sabe,Autobús o camioneta,7500,Tamaulipas,Reynosa (Tamaulipas),San Luis Potosí,San Luis Potosí (San Luis Potosí),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4192,Hombre,37,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Cortés,San Pedro Sula,La Técnica,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Veracruz de Ignacio de la Llave,Veracruz (Veracruz de Ignacio de la Llave),Tamaulipas,Reynosa (Tamaulipas),Distrito Federal,No responde,Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4193,Hombre,35,Sí,No,Lempira,San Francisco,El Ceibo,Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Tabasco,Villahermosa (Tabasco),Tamaulipas,Reynosa (Tamaulipas),Tamaulipas,Reynosa (Tamaulipas),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4194,Hombre,31,Sí,Sí,Choluteca,Choluteca,La Técnica,"Balsas (cámaras de llanta, tambos, maderos)",No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Tabasco,Cárdenas (Tabasco),Veracruz de Ignacio de la Llave,Acayucan (Veracruz de Ignacio de la Llave),Tabasco,Cárdenas (Tabasco),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
4195,Mujer,25,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,Concepción de María,La Técnica,Autobús o camioneta,8000,Chiapas,Tuxtla Gutiérrez (Chiapas),San Luis Potosí,San Luis Potosí (San Luis Potosí),Tamaulipas,Heroica Matamoros (Tamaulipas),Heroica Matamoros (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,Ninguna
4196,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,Concepción,Tecún Umán,"Balsas (cámaras de llanta, tambos, maderos)",No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Tabasco,Cárdenas (Tabasco),Distrito Federal,Álvaro Obregón (Distrito Federal),Distrito Federal,Álvaro Obregón (Distrito Federal),Reynosa (Tamaulipas),"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna
